"Ticket","File","Title"
"NRedberry-tbn6h","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsCreateBlockTranspositionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsCreateBlockTranspositionTests.cs"
"NRedberry-vsyvl","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsCreateCycleTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsCreateCycleTests.cs"
"NRedberry-1ro5v","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsCreateIdentityPermutationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsCreateIdentityPermutationTests.cs"
"NRedberry-c4sv7","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsCreatePermutationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsCreatePermutationTests.cs"
"NRedberry-r232u","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsCreateTranspositionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsCreateTranspositionTests.cs"
"NRedberry-rb98e","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsGetOrbitListTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsGetOrbitListTests.cs"
"NRedberry-jnbbz","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsGetOrbitSizeTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsGetOrbitSizeTests.cs"
"NRedberry-75oka","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsInternalDegreeTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsInternalDegreeTests.cs"
"NRedberry-zzkiz","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsInverseTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsInverseTests.cs"
"NRedberry-d8se4","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsIsIdentityTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsIsIdentityTests.cs"
"NRedberry-vy5qs","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsLengthsOfCyclesTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsLengthsOfCyclesTests.cs"
"NRedberry-jkj2w","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsNextZeroBitTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsNextZeroBitTests.cs"
"NRedberry-w355x","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsOrderOfPermutationIsOddTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsOrderOfPermutationIsOddTests.cs"
