"Ticket","File","Title"
"NRedberry-qiv2d","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parser\Preprocessor\ChangeIndicesTypesAndTensorNamesTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parser/Preprocessor/ChangeIndicesTypesAndTensorNamesTest.cs"
"NRedberry-oa067","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parser\Preprocessor\GeneralIndicesInsertionTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parser/Preprocessor/GeneralIndicesInsertionTest.cs"
"NRedberry-l7ce2","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parser\Preprocessor\IndicesInsertionTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parser/Preprocessor/IndicesInsertionTest.cs"
"NRedberry-pvc8o","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\BracketsErrorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/BracketsErrorTests.cs"
"NRedberry-v3eax","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ContextSettingsExtensionsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ContextSettingsExtensionsTests.cs"
"NRedberry-09fzc","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ITokenParserTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ITokenParserTests.cs"
"NRedberry-6r6do","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\NodeParserComparatorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/NodeParserComparatorTests.cs"
"NRedberry-az9um","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParserBracketsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParserBracketsTests.cs"
"NRedberry-46boq","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParserDerivativeTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParserDerivativeTests.cs"
"NRedberry-cw2ja","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParserExceptionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParserExceptionTests.cs"
"NRedberry-jsncf","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParserExpressionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParserExpressionTests.cs"
"NRedberry-0l1h3","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParserFunctionsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParserFunctionsTests.cs"
"NRedberry-yaofl","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParserIndicesTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParserIndicesTests.cs"
"NRedberry-c75xh","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParserNumberTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParserNumberTests.cs"
"NRedberry-syqv6","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParserOperatorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParserOperatorTests.cs"
"NRedberry-m55xu","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParserPowerTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParserPowerTests.cs"
"NRedberry-efmxm","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParserProductTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParserProductTests.cs"
"NRedberry-kpcoj","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParserSimpleTensorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParserSimpleTensorTests.cs"
"NRedberry-al1nz","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParserSumTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParserSumTests.cs"
"NRedberry-mew6w","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParserTensorFieldTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParserTensorFieldTests.cs"
"NRedberry-d1ogm","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParserTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParserTests.cs"
"NRedberry-3p0pk","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParseTokenDerivativeTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParseTokenDerivativeTests.cs"
"NRedberry-nx0mt","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParseTokenExpressionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParseTokenExpressionTests.cs"
"NRedberry-vhjr2","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParseTokenNumberTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParseTokenNumberTests.cs"
"NRedberry-6t4mc","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParseTokenScalarFunctionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParseTokenScalarFunctionTests.cs"
"NRedberry-qdlw6","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParseTokenSimpleTensorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParseTokenSimpleTensorTests.cs"
"NRedberry-m4xcw","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParseTokenTensorFieldTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParseTokenTensorFieldTests.cs"
"NRedberry-arl3u","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParseTokenTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParseTokenTests.cs"
"NRedberry-48735","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParseTokenTransformerTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParseTokenTransformerTests.cs"
"NRedberry-7jajv","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\ParseUtilsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/ParseUtilsTests.cs"
"NRedberry-h5bhg","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\Preprocessor\ChangeIndicesTypesAndTensorNamesTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/Preprocessor/ChangeIndicesTypesAndTensorNamesTests.cs"
"NRedberry-91vtt","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\Preprocessor\TypesAndNamesTransformerTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/Preprocessor/TypesAndNamesTransformerTests.cs"
"NRedberry-zfmy8","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parsers\TokenTypeTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parsers/TokenTypeTests.cs"
"NRedberry-3lvws","D:\GitHub\NRedberry\NRedberry.Core.Tests\Solver\ExternalSolverTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Solver/ExternalSolverTests.cs"
"NRedberry-tspj4","D:\GitHub\NRedberry\NRedberry.Core.Tests\Solver\Frobenius\DummySolutionProviderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Solver/Frobenius/DummySolutionProviderTests.cs"
"NRedberry-f6re7","D:\GitHub\NRedberry\NRedberry.Core.Tests\Solver\Frobenius\FbUtilsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Solver/Frobenius/FbUtilsTests.cs"
"NRedberry-t8ddq","D:\GitHub\NRedberry\NRedberry.Core.Tests\Solver\Frobenius\FinalSolutionProviderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Solver/Frobenius/FinalSolutionProviderTests.cs"
"NRedberry-ehgqg","D:\GitHub\NRedberry\NRedberry.Core.Tests\Solver\Frobenius\FrobeniusNumberTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Solver/Frobenius/FrobeniusNumberTest.cs"
"NRedberry-m4myi","D:\GitHub\NRedberry\NRedberry.Core.Tests\Solver\Frobenius\FrobeniusNumberTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Solver/Frobenius/FrobeniusNumberTests.cs"
"NRedberry-iavpf","D:\GitHub\NRedberry\NRedberry.Core.Tests\Solver\Frobenius\FrobeniusSolverTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Solver/Frobenius/FrobeniusSolverTests.cs"
"NRedberry-fqe0k","D:\GitHub\NRedberry\NRedberry.Core.Tests\Solver\Frobenius\SingleSolutionProviderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Solver/Frobenius/SingleSolutionProviderTests.cs"
"NRedberry-7r3f5","D:\GitHub\NRedberry\NRedberry.Core.Tests\Solver\Frobenius\SolutionProviderAbstractTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Solver/Frobenius/SolutionProviderAbstractTests.cs"
"NRedberry-b8f91","D:\GitHub\NRedberry\NRedberry.Core.Tests\Solver\Frobenius\SolutionProviderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Solver/Frobenius/SolutionProviderTests.cs"
"NRedberry-a9213","D:\GitHub\NRedberry\NRedberry.Core.Tests\Solver\Frobenius\TotalSolutionProviderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Solver/Frobenius/TotalSolutionProviderTests.cs"
"NRedberry-cm12n","D:\GitHub\NRedberry\NRedberry.Core.Tests\Solver\InverseTensorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Solver/InverseTensorTests.cs"
"NRedberry-2t56h","D:\GitHub\NRedberry\NRedberry.Core.Tests\Solver\ReducedSystemTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Solver/ReducedSystemTests.cs"
"NRedberry-x5yri","D:\GitHub\NRedberry\NRedberry.Core.Tests\Solver\ReduceEngineTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Solver/ReduceEngineTests.cs"
"NRedberry-nhp11","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensor\FastTensorsTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensor/FastTensorsTest.cs"
"NRedberry-oycew","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensor\Iterator\TreeTraverseIteratorTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensor/Iterator/TreeTraverseIteratorTest.cs"
"NRedberry-cb8d2","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensor\PowerBuilderTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensor/PowerBuilderTest.cs"
"NRedberry-l3llg","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensor\PowerFactoryTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensor/PowerFactoryTest.cs"
"NRedberry-san90","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensor\ProductBuilderTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensor/ProductBuilderTest.cs"
"NRedberry-vbkb0","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensor\Random\RandomTensorTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensor/Random/RandomTensorTest.cs"
"NRedberry-wgmb8","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensor\SplitTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensor/SplitTest.cs"
"NRedberry-r81s1","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensor\TestParserGlobally.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensor/TestParserGlobally.cs"
"NRedberry-26x7d","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensorgenerator\GeneratedTensorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensorgenerator/GeneratedTensorTests.cs"
"NRedberry-fyeds","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensorgenerator\TensorGeneratorUtilsTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensorgenerator/TensorGeneratorUtilsTest.cs"
"NRedberry-qpydm","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\AbstractSumBuilderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/AbstractSumBuilderTests.cs"
"NRedberry-gh6m8","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ApplyIndexMappingTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ApplyIndexMappingTests.cs"
"NRedberry-aotxs","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ArcCosFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ArcCosFactoryTests.cs"
"NRedberry-ofxyx","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ArcCosTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ArcCosTests.cs"
"NRedberry-eeo88","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ArcCotFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ArcCotFactoryTests.cs"
"NRedberry-6hnpm","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ArcCotTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ArcCotTests.cs"
"NRedberry-5djxe","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ArcSinFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ArcSinFactoryTests.cs"
"NRedberry-xrsmk","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ArcSinTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ArcSinTests.cs"
"NRedberry-xoqnk","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ArcTanFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ArcTanFactoryTests.cs"
"NRedberry-6w2ez","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ArcTanTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ArcTanTests.cs"
"NRedberry-qs0le","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\BasicTensorIteratorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/BasicTensorIteratorTests.cs"
"NRedberry-vbnpp","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\CCTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/CCTests.cs"
"NRedberry-rqswh","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ComplexSumBuilderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ComplexSumBuilderTests.cs"
"NRedberry-zczh7","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ContextManagerTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ContextManagerTests.cs"
"NRedberry-76chd","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\CosFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/CosFactoryTests.cs"
"NRedberry-dj3h4","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\CosTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/CosTests.cs"
"NRedberry-wwhv5","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\CotFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/CotFactoryTests.cs"
"NRedberry-3dtq0","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\CotTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/CotTests.cs"
"NRedberry-17mjp","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ExpFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ExpFactoryTests.cs"
"NRedberry-zu29k","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ExpressionBuilderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ExpressionBuilderTests.cs"
"NRedberry-xzicc","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ExpressionFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ExpressionFactoryTests.cs"
"NRedberry-segfw","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ExpressionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ExpressionTests.cs"
"NRedberry-8rzt8","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ExpTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ExpTests.cs"
"NRedberry-vp0ki","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\FactorNodeTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/FactorNodeTests.cs"
"NRedberry-adkax","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\IndexMapperTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/IndexMapperTests.cs"
"NRedberry-trplb","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Iterators\AllTraverseGuideTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Iterators/AllTraverseGuideTests.cs"
"NRedberry-s62iy","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Iterators\DummyPayloadTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Iterators/DummyPayloadTests.cs"
"NRedberry-nvz8m","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Iterators\ExceptFieldsTraverseGuideTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Iterators/ExceptFieldsTraverseGuideTests.cs"
"NRedberry-jp0oe","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Iterators\ExceptFunctionsAndFieldsTraverseGuideTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Iterators/ExceptFunctionsAndFieldsTraverseGuideTests.cs"
"NRedberry-lkwl2","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Iterators\FromChildToParentIteratorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Iterators/FromChildToParentIteratorTests.cs"
"NRedberry-z2oyv","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Iterators\FromParentToChildIteratorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Iterators/FromParentToChildIteratorTests.cs"
"NRedberry-0emw1","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Iterators\ITreeIteratorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Iterators/ITreeIteratorTests.cs"
"NRedberry-rjrjd","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Iterators\PayloadFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Iterators/PayloadFactoryTests.cs"
"NRedberry-djtbv","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Iterators\PayloadTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Iterators/PayloadTests.cs"
"NRedberry-xx6s7","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Iterators\StackPositionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Iterators/StackPositionTests.cs"
"NRedberry-0xz7i","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Iterators\TraverseGuideTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Iterators/TraverseGuideTests.cs"
"NRedberry-nadx7","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Iterators\TraversePermissionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Iterators/TraversePermissionTests.cs"
"NRedberry-7c25q","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Iterators\TraverseStateTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Iterators/TraverseStateTests.cs"
"NRedberry-8yrap","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Iterators\TreeIteratorAbstractTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Iterators/TreeIteratorAbstractTests.cs"
"NRedberry-5hc58","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Iterators\TreeTraverseIteratorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Iterators/TreeTraverseIteratorTests.cs"
"NRedberry-isqzh","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\LogFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/LogFactoryTests.cs"
"NRedberry-2tky7","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\LogTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/LogTests.cs"
"NRedberry-hcghj","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\MultiTensorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/MultiTensorTests.cs"
"NRedberry-43d00","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\OutputFormatTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/OutputFormatTests.cs"
"NRedberry-wu3c8","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Playground\ContentDataTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Playground/ContentDataTests.cs"
"NRedberry-802l5","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Playground\GraphStructureHashedTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Playground/GraphStructureHashedTests.cs"
"NRedberry-rmha7","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Playground\GraphStructureTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Playground/GraphStructureTests.cs"
"NRedberry-95vhp","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Playground\IAlgorithmTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Playground/IAlgorithmTests.cs"
"NRedberry-s5d3l","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\Playground\ProductDataTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/Playground/ProductDataTests.cs"
"NRedberry-milv2","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\PowersContainerTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/PowersContainerTests.cs"
"NRedberry-vgcco","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\PowerTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/PowerTests.cs"
"NRedberry-flaql","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ProductContentTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ProductContentTests.cs"
"NRedberry-ky4xk","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ProductFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ProductFactoryTests.cs"
"NRedberry-4r6aj","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ProductTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ProductTests.cs"
"NRedberry-htqzc","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ScalarFunctionBuilderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ScalarFunctionBuilderTests.cs"
"NRedberry-23har","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ScalarFunctionFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ScalarFunctionFactoryTests.cs"
"NRedberry-sr1gr","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ScalarFunctionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ScalarFunctionTests.cs"
"NRedberry-b7lee","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\ScalarsBackedProductBuilderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/ScalarsBackedProductBuilderTests.cs"
"NRedberry-fo0pb","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\SimpleTensorBuilderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/SimpleTensorBuilderTests.cs"
"NRedberry-twod5","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\SimpleTensorExtensionsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/SimpleTensorExtensionsTests.cs"
"NRedberry-5li1z","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\SimpleTensorFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/SimpleTensorFactoryTests.cs"
"NRedberry-bs7wu","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\SimpleTensorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/SimpleTensorTests.cs"
"NRedberry-uovyh","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\SinFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/SinFactoryTests.cs"
"NRedberry-xsjyg","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\SinTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/SinTests.cs"
"NRedberry-wot91","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\SplitNumbersTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/SplitNumbersTests.cs"
"NRedberry-4r8l0","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\StructureOfContractionsHashedTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/StructureOfContractionsHashedTests.cs"
"NRedberry-9l24s","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\StructureOfContractionsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/StructureOfContractionsTests.cs"
"NRedberry-gszcj","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\SumBuilderSplitingScalarsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/SumBuilderSplitingScalarsTests.cs"
"NRedberry-xess4","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\SumBuilderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/SumBuilderTests.cs"
"NRedberry-ht0hz","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\SumFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/SumFactoryTests.cs"
"NRedberry-58von","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\SumTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/SumTests.cs"
